date,platform,job,run_id,run_attempt,cache_state,queue_s,job_duration_s,conclusion,run_url
2026-07-08,github_actions,server-unit-tests,28914033120,1,cold,2,208,success,https://github.com/Wanderment-Farms/immich/actions/runs/28914033120
2026-07-08,github_actions,server-unit-tests,28914033120,2,warm,1,200,success,https://github.com/Wanderment-Farms/immich/actions/runs/28914033120
2026-07-08,blacksmith,server-unit-tests,28920274135,1,cold,7,88,success,https://github.com/Wanderment-Farms/immich/actions/runs/28920274135
2026-07-08,blacksmith,server-unit-tests,28920274135,2,warm,7,101,success,https://github.com/Wanderment-Farms/immich/actions/runs/28920274135
2026-07-08,blacksmith,server-unit-tests,28921254301,1,cold,,99,success,https://github.com/Wanderment-Farms/immich/actions/runs/28921254301
2026-07-08,blacksmith,server-unit-tests,28921685113,1,warm,,83,success,https://github.com/Wanderment-Farms/immich/actions/runs/28921685113
2026-07-08,blacksmith,server-medium-tests,28921254301,1,cold,,87,failure,https://github.com/Wanderment-Farms/immich/actions/runs/28921254301
2026-07-08,blacksmith,server-medium-tests,28921685113,1,cold,,117,success,https://github.com/Wanderment-Farms/immich/actions/runs/28921685113
2026-07-08,blacksmith,web-lint,28921254301,1,cold,,105,success,https://github.com/Wanderment-Farms/immich/actions/runs/28921254301
2026-07-08,blacksmith,web-lint,28921685113,1,warm,,99,success,https://github.com/Wanderment-Farms/immich/actions/runs/28921685113
2026-07-08,blacksmith,web-unit-tests,28921254301,1,cold,,64,success,https://github.com/Wanderment-Farms/immich/actions/runs/28921254301
2026-07-08,blacksmith,web-unit-tests,28921685113,1,warm,,61,success,https://github.com/Wanderment-Farms/immich/actions/runs/28921685113
2026-07-08,blacksmith,e2e-tests-server-cli,28921254301,1,cold,,366,success,https://github.com/Wanderment-Farms/immich/actions/runs/28921254301
2026-07-08,blacksmith,e2e-tests-server-cli,28921685113,1,warm,,290,success,https://github.com/Wanderment-Farms/immich/actions/runs/28921685113
2026-07-08,blacksmith,docker-build-server,28921254301,1,cold,,251,success,https://github.com/Wanderment-Farms/immich/actions/runs/28921254301
2026-07-08,blacksmith,docker-build-server,28921685113,1,warm,,17,success,https://github.com/Wanderment-Farms/immich/actions/runs/28921685113
2026-07-08,github_actions,server-unit-tests,28921303027,1,cold,,167,success,https://github.com/Wanderment-Farms/immich/actions/runs/28921303027
2026-07-08,github_actions,server-unit-tests,28921661416,1,warm,,205,success,https://github.com/Wanderment-Farms/immich/actions/runs/28921661416
2026-07-08,github_actions,server-medium-tests,28921303027,1,cold,,209,failure,https://github.com/Wanderment-Farms/immich/actions/runs/28921303027
2026-07-08,github_actions,server-medium-tests,28921661416,1,cold,,231,success,https://github.com/Wanderment-Farms/immich/actions/runs/28921661416
2026-07-08,github_actions,web-lint,28921303027,1,cold,,444,success,https://github.com/Wanderment-Farms/immich/actions/runs/28921303027
2026-07-08,github_actions,web-lint,28921661416,1,warm,,435,success,https://github.com/Wanderment-Farms/immich/actions/runs/28921661416
2026-07-08,github_actions,web-unit-tests,28921303027,1,cold,,117,success,https://github.com/Wanderment-Farms/immich/actions/runs/28921303027
2026-07-08,github_actions,web-unit-tests,28921661416,1,warm,,140,success,https://github.com/Wanderment-Farms/immich/actions/runs/28921661416
2026-07-08,github_actions,e2e-tests-server-cli,28921303027,1,cold,,467,success,https://github.com/Wanderment-Farms/immich/actions/runs/28921303027
2026-07-08,github_actions,e2e-tests-server-cli,28921661416,1,warm,,474,success,https://github.com/Wanderment-Farms/immich/actions/runs/28921661416
2026-07-08,github_actions,docker-build-server,28921303027,1,cold,,437,success,https://github.com/Wanderment-Farms/immich/actions/runs/28921303027
2026-07-08,github_actions,docker-build-server,28921661416,1,warm,,18,success,https://github.com/Wanderment-Farms/immich/actions/runs/28921661416
